source_label,economic_class,suggested_transformation,approved_transformation,unit,source_file,source_vendor,source_field,availability_timestamp_or_timezone,availability_lag_trading_days,missing_value_rule,sentinel_value_rule,observed_start,observed_end,observations,missing_fraction,nonpositive_observations,pilot_eligible,pilot_exclusion_reason,confirmatory_eligible,exclusion_reason,reviewed_by,reviewed_on,pilot_applied_lag_asset_sessions
1-3 Year EU,bond_or_credit_total_return_index,LOG_DIFFERENCE,LOG_DIFFERENCE,index level,Drivers_Assets_Dataset.xlsx,USER_SUPPLIED_EXPORT_VENDOR_NOT_DOCUMENTED,1-3 Year EU,Contemporaneous daily close alignment; exact timestamp not supplied (pilot only),1,No fill; adjacent valid source observations required,No numeric sentinel declared.,2001-01-01,2023-06-30,5868,0.00034071550255536625,0,True,,False,Pilot only: vendor field and observation timestamp are not supplied.,Rule-based audit,2026-09-03,0
3-5 Years EU,bond_or_credit_total_return_index,LOG_DIFFERENCE,LOG_DIFFERENCE,index level,Drivers_Assets_Dataset.xlsx,USER_SUPPLIED_EXPORT_VENDOR_NOT_DOCUMENTED,3-5 Years EU,Contemporaneous daily close alignment; exact timestamp not supplied (pilot only),1,No fill; adjacent valid source observations required,No numeric sentinel declared.,2001-01-01,2023-06-30,5868,0.00034071550255536625,0,True,,False,Pilot only: vendor field and observation timestamp are not supplied.,Rule-based audit,2026-09-03,0
7-10 Years EU,bond_or_credit_total_return_index,LOG_DIFFERENCE,LOG_DIFFERENCE,index level,Drivers_Assets_Dataset.xlsx,USER_SUPPLIED_EXPORT_VENDOR_NOT_DOCUMENTED,7-10 Years EU,Contemporaneous daily close alignment; exact timestamp not supplied (pilot only),1,No fill; adjacent valid source observations required,No numeric sentinel declared.,2001-01-01,2023-06-30,5868,0.00034071550255536625,0,True,,False,Pilot only: vendor field and observation timestamp are not supplied.,Rule-based audit,2026-09-03,0
AUD-CAD X-RATE,foreign_exchange,LOG_DIFFERENCE,LOG_DIFFERENCE,exchange-rate level,Drivers_Assets_Dataset.xlsx,USER_SUPPLIED_EXPORT_VENDOR_NOT_DOCUMENTED,AUD-CAD X-RATE,Contemporaneous daily close alignment; exact timestamp not supplied (pilot only),1,No fill; adjacent valid source observations required,No numeric sentinel declared.,2001-01-01,2023-06-30,5814,0.009540034071550256,0,True,,False,Pilot only: vendor field and observation timestamp are not supplied.,Rule-based audit,2026-09-03,0
AUD-JPY X-RATE,foreign_exchange,LOG_DIFFERENCE,LOG_DIFFERENCE,exchange-rate level,Drivers_Assets_Dataset.xlsx,USER_SUPPLIED_EXPORT_VENDOR_NOT_DOCUMENTED,AUD-JPY X-RATE,Contemporaneous daily close alignment; exact timestamp not supplied (pilot only),1,No fill; adjacent valid source observations required,No numeric sentinel declared.,2001-01-01,2023-06-30,5814,0.009540034071550256,0,True,,False,Pilot only: vendor field and observation timestamp are not supplied.,Rule-based audit,2026-09-03,0
AUD-NZD X-RATE,foreign_exchange,LOG_DIFFERENCE,LOG_DIFFERENCE,exchange-rate level,Drivers_Assets_Dataset.xlsx,USER_SUPPLIED_EXPORT_VENDOR_NOT_DOCUMENTED,AUD-NZD X-RATE,Contemporaneous daily close alignment; exact timestamp not supplied (pilot only),1,No fill; adjacent valid source observations required,No numeric sentinel declared.,2001-01-01,2023-06-30,5814,0.009540034071550256,0,True,,False,Pilot only: vendor field and observation timestamp are not supplied.,Rule-based audit,2026-09-03,0
Argentine Peso Spot,foreign_exchange,LOG_DIFFERENCE,LOG_DIFFERENCE,exchange-rate level,Drivers_Assets_Dataset.xlsx,USER_SUPPLIED_EXPORT_VENDOR_NOT_DOCUMENTED,Argentine Peso Spot,Contemporaneous daily close alignment; exact timestamp not supplied (pilot only),1,No fill; adjacent valid source observations required,No numeric sentinel declared.,2001-01-01,2023-06-30,5814,0.009540034071550256,0,True,,False,Pilot only: vendor field and observation timestamp are not supplied.,Rule-based audit,2026-09-03,0
Australian Dollar Spot,foreign_exchange,LOG_DIFFERENCE,LOG_DIFFERENCE,exchange-rate level,Drivers_Assets_Dataset.xlsx,USER_SUPPLIED_EXPORT_VENDOR_NOT_DOCUMENTED,Australian Dollar Spot,Contemporaneous daily close alignment; exact timestamp not supplied (pilot only),1,No fill; adjacent valid source observations required,No numeric sentinel declared.,2001-01-01,2023-06-30,5814,0.009540034071550256,0,True,,False,Pilot only: vendor field and observation timestamp are not supplied.,Rule-based audit,2026-09-03,0
BBG Commodity,commodity,LOG_DIFFERENCE,LOG_DIFFERENCE,price or index level,Drivers_Assets_Dataset.xlsx,USER_SUPPLIED_EXPORT_VENDOR_NOT_DOCUMENTED,BBG Commodity,Contemporaneous daily close alignment; exact timestamp not supplied (pilot only),1,No fill; adjacent valid source observations required,No numeric sentinel declared.,2001-01-01,2023-06-30,5868,0.00034071550255536625,0,True,,False,Pilot only: vendor field and observation timestamp are not supplied.,Rule-based audit,2026-09-03,0
BBG Euro Ser-E Gov 1-3 Yr,bond_or_credit_total_return_index,LOG_DIFFERENCE,LOG_DIFFERENCE,index level,Drivers_Assets_Dataset.xlsx,USER_SUPPLIED_EXPORT_VENDOR_NOT_DOCUMENTED,BBG Euro Ser-E Gov 1-3 Yr,Contemporaneous daily close alignment; exact timestamp not supplied (pilot only),1,No fill; adjacent valid source observations required,No numeric sentinel declared.,2001-01-01,2023-06-30,5868,0.00034071550255536625,0,True,,False,Pilot only: vendor field and observation timestamp are not supplied.,Rule-based audit,2026-09-03,0
BEIG1T,bond_or_credit_total_return_index,LOG_DIFFERENCE,LOG_DIFFERENCE,index level,Drivers_Assets_Dataset.xlsx,USER_SUPPLIED_EXPORT_VENDOR_NOT_DOCUMENTED,BEIG1T,Contemporaneous daily close alignment; exact timestamp not supplied (pilot only),1,No fill; adjacent valid source observations required,No numeric sentinel declared.,2001-01-01,2023-06-30,5868,0.00034071550255536625,0,True,,False,Pilot only: vendor field and observation timestamp are not supplied.,Rule-based audit,2026-09-03,0
BONOS Y OBLIG DEL ESTADO,sovereign_yield,DIFFERENCE,DIFFERENCE,percentage points,Drivers_Assets_Dataset.xlsx,USER_SUPPLIED_EXPORT_VENDOR_NOT_DOCUMENTED,BONOS Y OBLIG DEL ESTADO,Contemporaneous daily close alignment; exact timestamp not supplied (pilot only),1,No fill; adjacent valid source observations required,No numeric sentinel declared.,2001-01-01,2023-06-30,5814,0.009540034071550256,0,True,,False,Pilot only: vendor field and observation timestamp are not supplied.,Rule-based audit,2026-09-03,0
BRAZIL IBOVESPA INDEX,equity_index,LOG_DIFFERENCE,LOG_DIFFERENCE,index level,Drivers_Assets_Dataset.xlsx,USER_SUPPLIED_EXPORT_VENDOR_NOT_DOCUMENTED,BRAZIL IBOVESPA INDEX,Contemporaneous daily close alignment; exact timestamp not supplied (pilot only),1,No fill; adjacent valid source observations required,No numeric sentinel declared.,2001-01-01,2023-06-30,5814,0.009540034071550256,0,True,,False,Pilot only: vendor field and observation timestamp are not supplied.,Rule-based audit,2026-09-03,0
BUONI POLIENNALI DEL TES,sovereign_yield,DIFFERENCE,DIFFERENCE,percentage points,Drivers_Assets_Dataset.xlsx,USER_SUPPLIED_EXPORT_VENDOR_NOT_DOCUMENTED,BUONI POLIENNALI DEL TES,Contemporaneous daily close alignment; exact timestamp not supplied (pilot only),1,No fill; adjacent valid source observations required,No numeric sentinel declared.,2001-01-01,2023-06-30,5814,0.009540034071550256,0,True,,False,Pilot only: vendor field and observation timestamp are not supplied.,Rule-based audit,2026-09-03,0
Brazilian Real Spot,bond_or_credit_total_return_index,LOG_DIFFERENCE,LOG_DIFFERENCE,index level,Drivers_Assets_Dataset.xlsx,USER_SUPPLIED_EXPORT_VENDOR_NOT_DOCUMENTED,Brazilian Real Spot,Contemporaneous daily close alignment; exact timestamp not supplied (pilot only),1,No fill; adjacent valid source observations required,No numeric sentinel declared.,2001-01-01,2023-06-30,5814,0.009540034071550256,0,True,,False,Pilot only: vendor field and observation timestamp are not supplied.,Rule-based audit,2026-09-03,0
