date,ticker,disposition,factor,verification_status,event_type,source_url,rationale
2010-11-16,AOS,APPLY_FACTOR,0.6666666666666666,PRIMARY_SOURCE_VERIFIED,3-for-2 stock split,https://www.sec.gov/Archives/edgar/data/91142/000119312510230937/d8k.htm,Distribution occurred on or about 2010-11-15; the next observed close is adjusted by 2/3.
2010-12-22,AME,APPLY_FACTOR,0.6666666666666666,PRIMARY_SOURCE_VERIFIED,3-for-2 stock split,https://www.sec.gov/Archives/edgar/data/1037868/000129993311000282/exhibit1.htm,Split was paid on 2010-12-21; the next observed close is adjusted by 2/3.
2012-12-20,CCU,APPLY_FACTOR,0.4,PRIMARY_SOURCE_VERIFIED,ADS ratio change,https://ccuinvestor.com/wp-content/uploads/CCU-FINANCIAL-STATEMENTS_20F_2012.pdf,ADS ratio changed from one ADS per five common shares to one ADS per two common shares effective 2012-12-20.
2013-01-02,ABT,EXCLUDE_DATE,,PRIMARY_SOURCE_VERIFIED,AbbVie spin-off,https://www.sec.gov/Archives/edgar/data/1800/000110465913029607/a13-10115_18k.htm,Price-only ABT data omit the value of distributed ABBV shares; the full synchronous date is excluded.
2014-10-10,APH,APPLY_FACTOR,0.5,PRIMARY_SOURCE_VERIFIED,2-for-1 stock split,https://www.sec.gov/Archives/edgar/data/820313/000110465914059627/a14-18889_1ex99d1.htm,Additional shares were distributed on or about 2014-10-09; the next observed close is adjusted by 1/2.
2015-04-13,BLDR,KEEP_OBSERVED,,PRIMARY_SOURCE_VERIFIED,Acquisition announcement,https://www.sec.gov/Archives/edgar/data/1316835/000119312515126847/d910401d8k.htm,Same-day ProBuild acquisition announcement supports treating the jump as an economic price move rather than a split.
2015-07-01,BAX,EXCLUDE_DATE,,PRIMARY_SOURCE_VERIFIED,Baxalta spin-off,https://www.sec.gov/Archives/edgar/data/1620546/000119312515244456/d59817d8k.htm,Price-only BAX data omit the value of distributed BXLT shares; the full synchronous date is excluded.
2016-04-22,AMD,KEEP_OBSERVED,,PRIMARY_SOURCE_VERIFIED,Earnings and licensing news,https://www.sec.gov/Archives/edgar/data/2488/000000248816000118/q116991.htm,Contemporaneous issuer release reported quarterly results and a material IP licensing transaction; retain the observed market move.
2017-05-15,ASH,EXCLUDE_DATE,,PRIMARY_SOURCE_VERIFIED,Valvoline distribution,https://www.sec.gov/Archives/edgar/data/1674862/000167486217000033/form8k.htm,Price-only ASH data omit the value of distributed VVV shares; the first post-distribution trading date is excluded.
2019-06-03,DD,EXCLUDE_DATE,,PRIMARY_SOURCE_VERIFIED,Corteva distribution and 1-for-3 reverse split,https://www.sec.gov/Archives/edgar/data/1666700/000119312519163322/d715311d8k.htm,The price ratio combines a distributed asset and a reverse split; without CTVA value the wealth return is not identified.
2020-03-09,APA,KEEP_OBSERVED,,EMPIRICAL_REVIEW,Market stress move,,No split-like factor within tolerance and no imputation or cross-date bridge; retain as an observed stress return.
2020-03-16,ARC,KEEP_OBSERVED,,EMPIRICAL_REVIEW,Market stress move,,Broad March 2020 stress date; no split-like factor within tolerance; retain the observed return.
2020-03-17,CAL,KEEP_OBSERVED,,EMPIRICAL_REVIEW,Market stress move,,Broad March 2020 stress date; no split-like factor within tolerance; retain the observed return.
2020-03-18,CAR,KEEP_OBSERVED,,EMPIRICAL_REVIEW,Market stress move,,Broad March 2020 stress date; no split-like factor within tolerance; retain the observed return.
2020-04-01,CCL,KEEP_OBSERVED,,EMPIRICAL_REVIEW,Market stress move,,Broad pandemic stress period; no split-like factor within tolerance; retain the observed return.
2020-12-15,AIV,EXCLUDE_DATE,,PRIMARY_SOURCE_VERIFIED,AIR separation,https://www.sec.gov/Archives/edgar/data/922864/000119312520317477/d772672d8k.htm,Price-only AIV data omit the value of distributed AIR shares; the full synchronous date is excluded.
2021-11-02,CAR,KEEP_OBSERVED,,PRIMARY_SOURCE_VERIFIED,Earnings announcement,https://www.sec.gov/Archives/edgar/data/723612/000072361221000062/exhibit991fornovember12021.htm,Issuer reported record quarterly net income and adjusted EBITDA; do not misclassify the approximately twofold move as a split.
2023-05-31,AAP,KEEP_OBSERVED,,PRIMARY_SOURCE_VERIFIED,Earnings guidance and dividend reduction,https://www.sec.gov/Archives/edgar/data/1158449/000115844923000136/aap_exhibit991xq1x20231.htm,Issuer reduced full-year guidance and quarterly dividend; retain the observed market move.
