source_label,economic_class,suggested_transformation,approved_transformation,unit,source_file,source_vendor,source_field,availability_timestamp_or_timezone,availability_lag_trading_days,missing_value_rule,sentinel_value_rule,observed_start,observed_end,observations,missing_fraction,nonpositive_observations,pilot_eligible,pilot_exclusion_reason,confirmatory_eligible,exclusion_reason,reviewed_by,reviewed_on
1-3 Year EU,bond_or_credit_index,LOG_DIFFERENCE,LOG_DIFFERENCE,index level,Drivers_Assets_Dataset.xlsx,Bloomberg,PX_LAST,Bloomberg market close observation; predictive analyses use the predeclared asset-specific lag,1,"Carry PX_LAST for at most three source rows across local-market closures, then transform on the target asset calendar; declared sentinels and longer outages remain missing",No numeric sentinel declared.,2001-01-01,2023-07-03,5869,0.00034065746891500596,0,True,,True,,Rule-based audit,2026-09-03
3-5 Years EU,bond_or_credit_index,LOG_DIFFERENCE,LOG_DIFFERENCE,index level,Drivers_Assets_Dataset.xlsx,Bloomberg,PX_LAST,Bloomberg market close observation; predictive analyses use the predeclared asset-specific lag,1,"Carry PX_LAST for at most three source rows across local-market closures, then transform on the target asset calendar; declared sentinels and longer outages remain missing",No numeric sentinel declared.,2001-01-01,2023-07-03,5869,0.00034065746891500596,0,True,,True,,Rule-based audit,2026-09-03
7-10 Years EU,bond_or_credit_index,LOG_DIFFERENCE,LOG_DIFFERENCE,index level,Drivers_Assets_Dataset.xlsx,Bloomberg,PX_LAST,Bloomberg market close observation; predictive analyses use the predeclared asset-specific lag,1,"Carry PX_LAST for at most three source rows across local-market closures, then transform on the target asset calendar; declared sentinels and longer outages remain missing",No numeric sentinel declared.,2001-01-01,2023-07-03,5869,0.00034065746891500596,0,True,,True,,Rule-based audit,2026-09-03
AUD-CAD X-RATE,foreign_exchange,LOG_DIFFERENCE,LOG_DIFFERENCE,exchange-rate level,Drivers_Assets_Dataset.xlsx,Bloomberg,PX_LAST,Bloomberg market close observation; predictive analyses use the predeclared asset-specific lag,1,"Carry PX_LAST for at most three source rows across local-market closures, then transform on the target asset calendar; declared sentinels and longer outages remain missing",No numeric sentinel declared.,2001-01-01,2023-07-03,5815,0.009538409129620166,0,True,,True,,Rule-based audit,2026-09-03
AUD-JPY X-RATE,foreign_exchange,LOG_DIFFERENCE,LOG_DIFFERENCE,exchange-rate level,Drivers_Assets_Dataset.xlsx,Bloomberg,PX_LAST,Bloomberg market close observation; predictive analyses use the predeclared asset-specific lag,1,"Carry PX_LAST for at most three source rows across local-market closures, then transform on the target asset calendar; declared sentinels and longer outages remain missing",No numeric sentinel declared.,2001-01-01,2023-07-03,5815,0.009538409129620166,0,True,,True,,Rule-based audit,2026-09-03
AUD-NZD X-RATE,foreign_exchange,LOG_DIFFERENCE,LOG_DIFFERENCE,exchange-rate level,Drivers_Assets_Dataset.xlsx,Bloomberg,PX_LAST,Bloomberg market close observation; predictive analyses use the predeclared asset-specific lag,1,"Carry PX_LAST for at most three source rows across local-market closures, then transform on the target asset calendar; declared sentinels and longer outages remain missing",No numeric sentinel declared.,2001-01-01,2023-07-03,5815,0.009538409129620166,0,True,,True,,Rule-based audit,2026-09-03
Argentine Peso Spot,foreign_exchange,LOG_DIFFERENCE,LOG_DIFFERENCE,exchange-rate level,Drivers_Assets_Dataset.xlsx,Bloomberg,PX_LAST,Bloomberg market close observation; predictive analyses use the predeclared asset-specific lag,1,"Carry PX_LAST for at most three source rows across local-market closures, then transform on the target asset calendar; declared sentinels and longer outages remain missing",No numeric sentinel declared.,2001-01-01,2023-07-03,5815,0.009538409129620166,0,True,,True,,Rule-based audit,2026-09-03
Australian Dollar Spot,foreign_exchange,LOG_DIFFERENCE,LOG_DIFFERENCE,exchange-rate level,Drivers_Assets_Dataset.xlsx,Bloomberg,PX_LAST,Bloomberg market close observation; predictive analyses use the predeclared asset-specific lag,1,"Carry PX_LAST for at most three source rows across local-market closures, then transform on the target asset calendar; declared sentinels and longer outages remain missing",No numeric sentinel declared.,2001-01-01,2023-07-03,5815,0.009538409129620166,0,True,,True,,Rule-based audit,2026-09-03
BBG Commodity,commodity,LOG_DIFFERENCE,LOG_DIFFERENCE,price or index level,Drivers_Assets_Dataset.xlsx,Bloomberg,PX_LAST,Bloomberg market close observation; predictive analyses use the predeclared asset-specific lag,1,"Carry PX_LAST for at most three source rows across local-market closures, then transform on the target asset calendar; declared sentinels and longer outages remain missing",No numeric sentinel declared.,2001-01-01,2023-07-03,5869,0.00034065746891500596,0,True,,True,,Rule-based audit,2026-09-03
BBG Euro Ser-E Gov 1-3 Yr,bond_or_credit_index,LOG_DIFFERENCE,LOG_DIFFERENCE,index level,Drivers_Assets_Dataset.xlsx,Bloomberg,PX_LAST,Bloomberg market close observation; predictive analyses use the predeclared asset-specific lag,1,"Carry PX_LAST for at most three source rows across local-market closures, then transform on the target asset calendar; declared sentinels and longer outages remain missing",No numeric sentinel declared.,2001-01-01,2023-07-03,5869,0.00034065746891500596,0,True,,True,,Rule-based audit,2026-09-03
